employee_id,bu,libelle_emploi,type_contrat,country,libelle_organisation_niveau_07,avg_performance,performance_std,performance_reviews,low_data_flag,performance_consistency_score,talent_progression_proxy,absence_events,absence_days,absence_events_score,absence_days_score,absenteeism_risk_score,absence_merge_status,training_count,training_hours,training_count_score,training_hours_score,learning_intensity_score,training_merge_status,has_absence_record,has_training_record,has_performance_record,performance_score,data_coverage_score,kpi_reliability_score,human_capital_value_proxy,reliability_adjusted_value_proxy,contribution_signal,learning_future_value_signal,progression_signal,sustainability_signal,interpretation_confidence,sustainable_value_potential,reliability_adjusted_value_potential,interpretation_risk,sustainability_balance,valuation_archetype,blue_line_question,risk_flag,opportunity_flag,ai_segment,ai_segment_label,segment_name
ANON_65X48X48X48X50X53X49X52X51X52X56X,CACEIS,MIDDLE OFFICER,CDI,France,Middle Office,3.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,48.0,38.5,0.558303886925795,0.5278268551236749,0.540017667844523,both,4.0,77.0,0.5491539081385979,0.7681305398871877,0.6586422240128929,both,True,True,True,0.6,1.0,0.5,0.46698377461973645,0.3502378309648023,0.55,0.28227182482471486,0.6539196940726577,0.4585713653071166,0.75,0.46698377461973645,0.3502378309648023,0.11674594365493411,-0.2591568098681685,Stable / Monitor,What should be monitored to sustain contribution and development over time?,Low KPI reliability,Standard monitoring,3,Stable baseline profile,Stable baseline profile
ANON_65X48X48X48X50X53X49X52X54X57X48X,CACEIS,CHIEF COMPLIANCE OFFICER,CDI,Luxembourg,Corporate Compliance,3.0,0.0,1.0,True,0.4998034591194968,0.2357237715803453,0.0,0.0,0.0,0.0,0.0,left_only,0.0,0.0,0.0,0.0,0.0,left_only,False,False,True,0.6,0.3333333333333333,0.16666666666666666,0.3925009920536503,0.09812524801341257,0.55,3.306845500871354e-06,0.0,1.0,0.25,0.3925009920536503,0.09812524801341257,0.2943757440402377,3.306845500871354e-06,Under-Observed Profile,Do we have enough reliable data to interpret this profile safely?,Low KPI reliability,Standard monitoring,0,Stable baseline profile,Stable baseline profile
ANON_65X48X48X48X51X48X48X48X49X54X53X,CACEIS,HEAD OF IT LINE,CDI,France,IT Risks & CRM,3.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,71.0,44.5,0.857773851590106,0.6987632508833922,0.7623674911660777,both,7.0,59.5,0.7373086220789685,0.6925866236905721,0.7149476228847703,both,True,True,True,0.6,1.0,0.5,0.43463107454108707,0.3259733059058153,0.55,0.3230500129067333,0.6539196940726577,0.23564058279084188,0.75,0.43463107454108707,0.3259733059058153,0.10865776863527177,-0.4413094043024248,Stable / Monitor,What should be monitored to sustain contribution and development over time?,High absenteeism risk,Learning investment to monitor for future impact,3,Stable baseline profile,Stable baseline profile
ANON_65X48X48X48X51X48X48X48X52X53X50X,CACEIS,CLIENT OPERATIONS OFFICER,CDI,France,PERES Operations FA,4.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,47.0,42.5,0.5320229681978799,0.6501766784452296,0.6029151943462897,both,6.0,34.0,0.684931506849315,0.5592264302981467,0.6220789685737309,both,True,True,True,0.8,1.0,0.5,0.4870011141458195,0.3652508356093646,0.65,0.27437086735877464,0.6539196940726577,0.3955094991364422,0.75,0.4870011141458195,0.3652508356093646,0.12175027853645487,-0.3301196335047832,Value Under Pressure,Is current contribution being created in a sustainable way?,Low KPI reliability,Standard monitoring,1,Operational continuity risk,Operational continuity risk
ANON_65X48X48X48X51X48X48X48X52X54X53X,CACEIS,GROUP COMMUNICATION MANAGER - ONLINE CONTENTS & DESIGN,CDI,France,Content,3.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,197.0,139.5,0.9637809187279152,0.9659893992932862,0.9651060070671378,both,5.0,50.010000000000005,0.621676067687349,0.6514907332796133,0.6365834004834812,both,True,True,True,0.6,1.0,0.5,0.379636089747861,0.28472706731089575,0.55,0.2752455531668581,0.6539196940726577,0.032372348434524634,0.75,0.379636089747861,0.28472706731089575,0.09490902243696525,-0.6923820983986173,Stable / Monitor,What should be monitored to sustain contribution and development over time?,High absenteeism risk,Standard monitoring,3,Stable baseline profile,Stable baseline profile
ANON_65X48X48X48X51X48X48X48X56X57X54X,CACEIS,MIDDLE OFFICER,CDI,France,Middle Office,3.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,52.0,44.5,0.6468639575971732,0.6987632508833922,0.6780035335689045,both,0.0,0.0,0.0,0.0,0.0,left_only,True,False,True,0.6,0.6666666666666666,0.3333333333333333,0.35463393974322127,0.17731696987161064,0.55,3.306845500871354e-06,0.6539196940726577,0.32022496789336174,0.5,0.35463393974322127,0.17731696987161064,0.17731696987161064,-0.6797717252611374,Stable / Monitor,What should be monitored to sustain contribution and development over time?,High absenteeism risk,Standard monitoring,3,Stable baseline profile,Stable baseline profile
ANON_65X48X48X48X51X48X48X49X57X48X52X,CACEIS,SENIOR PROJECT LEAD,CDI,France,HR Development,4.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,51.0,41.5,0.6274293286219081,0.6245583038869258,0.6257067137809187,both,5.0,99.0,0.621676067687349,0.8315874294923449,0.7266317485898469,both,True,True,True,0.8,1.0,0.5,0.49656729091982016,0.3724254681898651,0.65,0.3214921695942395,0.6539196940726577,0.37265842965324836,0.75,0.49656729091982016,0.3724254681898651,0.12414182272995504,-0.30584940075251216,Value Under Pressure,Is current contribution being created in a sustainable way?,Low KPI reliability,Standard monitoring,1,Operational continuity risk,Operational continuity risk
ANON_65X48X48X48X51X48X48X50X48X56X53X,CACEIS,CLIENT OPERATIONS OFFICER,CDI,France,"Post trading, Controls & Support",3.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,25.0,20.5,0.1534893992932862,0.1523851590106007,0.1528268551236749,both,3.0,25.0,0.4625302175664786,0.492143432715552,0.4773368251410153,both,True,True,True,0.6,1.0,0.5,0.5185389917547256,0.3889042438160442,0.55,0.19532090120532863,0.6539196940726577,0.8467738364111421,0.75,0.5185389917547256,0.3889042438160442,0.1296347479386814,0.042094737616470757,Stable / Monitor,What should be monitored to sustain contribution and development over time?,Low KPI reliability,High value proxy,3,Stable baseline profile,Stable baseline profile
ANON_65X48X48X48X51X48X48X50X49X56X52X,CACEIS,PARALEGAL OFFICER,CDI,Luxembourg,Fund Structuring,2.0,0.0,1.0,True,0.4998034591194968,0.2357237715803453,0.0,0.0,0.0,0.0,0.0,left_only,0.0,0.0,0.0,0.0,0.0,left_only,False,False,True,0.4,0.3333333333333333,0.16666666666666666,0.35750099205365027,0.08937524801341257,0.45,3.306845500871354e-06,0.0,1.0,0.25,0.35750099205365027,0.08937524801341257,0.2681257440402377,3.306845500871354e-06,Under-Observed Profile,Do we have enough reliable data to interpret this profile safely?,Low KPI reliability,Standard monitoring,0,Stable baseline profile,Stable baseline profile
ANON_65X48X48X48X51X48X48X51X50X49X55X,CACEIS,GROUP HEAD,CDI,France,Corporate Compliance,3.0,0.0,1.0,True,0.4998034591194968,0.7353253652058432,40.0,35.0,0.3480565371024735,0.4059187279151943,0.382773851590106,both,6.0,126.0,0.684931506849315,0.8912167606768735,0.7880741337630943,both,True,True,True,0.6,1.0,0.5,0.5218875673245669,0.39141567549342515,0.55,0.3601813568896923,0.6539196940726577,0.6162260307338028,0.75,0.5218875673245669,0.39141567549342515,0.13047189183114172,-0.02359261237650495,Stable / Monitor,What should be monitored to sustain contribution and development over time?,Low KPI reliability,Learning investment to monitor for future impact,3,Stable baseline profile,Stable baseline profile
