libelle_organisation_niveau_07,employees,avg_sustainable_value_potential,avg_reliability_adjusted_potential,avg_absenteeism_risk,avg_learning_intensity,avg_kpi_reliability,high_absence_risk_share
Risks & Controls,23,0.4364390551285521,0.19804703097539042,0.2588627285297281,0.32556143362645834,0.2826086956521739,0.17391304347826086
"PERES Projects, Support & Data",23,0.41621583957159064,0.1495701254793909,0.17555884160393304,0.1501418911817258,0.22463768115942026,0.13043478260869565
HRBP & Talent Management,23,0.4729490167029646,0.26348090829536297,0.3216680749731141,0.44883596678695303,0.34782608695652173,0.17391304347826086
Network Management,21,0.4404012552958794,0.2269408750113914,0.3330409725727747,0.3884923832546717,0.3253968253968254,0.2857142857142857
IT Custody & Tax Serv & Network,20,0.46526786967194117,0.33960899322734633,0.4964840989399293,0.42910455278001614,0.4833333333333333,0.25
IT Master Data Services,20,0.43869833962002563,0.24138226718499559,0.3417336572438162,0.32159045124899277,0.35,0.25
HR Services & Payroll,20,0.45121456418512496,0.23261745293458622,0.250547703180212,0.34992949234488313,0.31666666666666665,0.1
IT People Proximity Control,19,0.43231996229766867,0.24497868527545777,0.37359122187093174,0.277227617795496,0.3684210526315789,0.3157894736842105
CACEIS Consulting,19,0.4149434581923731,0.10849533267774522,0.039550399851218145,0.07694346664404766,0.15789473684210525,0.0
Fin General Secretary,19,0.4078640012730143,0.06132501902684542,0.05293611679375116,0.06437401925442131,0.08771929824561404,0.0
Corporate Premises Management,18,0.4273530221188806,0.20408213528892302,0.2788967412642324,0.23798571940191604,0.2962962962962963,0.2222222222222222
IT Investment Mgnt Services,18,0.40273165274091904,0.11099634250883386,0.24367393011385946,0.17587742859700958,0.17592592592592593,0.2222222222222222
IT General secretary,18,0.4619057499591272,0.2241150912709379,0.2573419709462112,0.3543625212642134,0.2962962962962963,0.1111111111111111
Business Compliance,18,0.4838355114955294,0.26960478193312404,0.2798169414998037,0.5260990240845197,0.34259259259259256,0.2222222222222222
Risk & Permanent Controls,17,0.4264245229627144,0.15717092490582682,0.09858657243816255,0.1575994217187278,0.22549019607843135,0.0
Client Representative,17,0.3945598155830621,0.012058852707460302,0.0,0.0,0.0196078431372549,0.0
Periodical review,16,0.5218578210577832,0.432174671333597,0.2917734098939929,0.5744674153908138,0.5520833333333333,0.125
IT Gen Sec & Controls & IT prox,16,0.3968759920536503,0.044023546005868,0.0,0.0,0.07291666666666666,0.0
IT Fund Administration,16,0.4252296085885119,0.30649017149864766,0.5920549911660777,0.3594883158742949,0.4791666666666667,0.4375
IT Banking Services,15,0.39716765872031695,0.07312518187650256,0.0,0.0,0.12222222222222222,0.0
HR Development,15,0.4709947711797138,0.2845067773701573,0.3825412249705536,0.5188289014235832,0.3777777777777777,0.13333333333333333
PERES Operations Transversal,15,0.43657492853036783,0.42669289054365084,0.5701855123674912,0.4669621273166801,0.6444444444444444,0.4666666666666667
Transversal functions,14,0.5392739512492077,0.41709881303186486,0.4476968702675416,0.8081975941061356,0.5119047619047619,0.2857142857142857
Client Support,14,0.40000099205365025,0.08598235544006792,0.0,0.0,0.14285714285714285,0.0
IT PERES,14,0.38750099205365024,0.054821570293378606,0.0,0.0,0.09523809523809523,0.0
Master Data Services,14,0.4186441856800681,0.05640636111247775,0.05475769813225643,0.11306406124093474,0.07142857142857142,0.0
Client Services and Onboarding,14,0.49176238635331654,0.38630724274080414,0.47564045936395755,0.6129345573845976,0.5238095238095238,0.21428571428571427
Surveillance,13,0.41988480432905995,0.1863776307019417,0.39329980973090517,0.3802222153350276,0.28205128205128205,0.46153846153846156
Process Improvement & Coaching,13,0.5191394485834514,0.4275214932449302,0.5409112530578961,0.8572026281534743,0.5512820512820512,0.3076923076923077
Quality Assurance,13,0.395193299745958,0.015769268925140394,0.0,0.0,0.02564102564102564,0.0
Group Sales & Client Excel Sup,12,0.468058581789139,0.24681984033750015,0.2116791813898704,0.36139370131614285,0.3194444444444444,0.0
General Management Entities,12,0.4508369065826236,0.22083166367589344,0.1415304770318021,0.2219648133225893,0.3055555555555555,0.0
Client Portfolio Compliance,12,0.4428332687927388,0.2622670711638399,0.4406029151943463,0.2850607708836959,0.38888888888888884,0.25
Business Expertise & Development,12,0.45696038658605453,0.32680321283686675,0.6772011189634864,0.7341022025248455,0.47222222222222227,0.8333333333333334
Products,12,0.43438932009485437,0.13013548397811447,0.10354829210836276,0.15577155519742145,0.18055555555555555,0.08333333333333333
HR Steering & Rewards,11,0.4694608129756786,0.2894766902792964,0.25260600706713776,0.33546077210460773,0.3939393939393939,0.09090909090909091
PERES Financing,11,0.520351421354979,0.3278202263713353,0.2878132026983617,0.6370412423998242,0.3939393939393939,0.18181818181818182
Onboarding,11,0.512392934871426,0.4188102120115975,0.46291760359781553,0.7214856054501502,0.5454545454545454,0.18181818181818182
FS Project & Transformation,11,0.3925009920536503,0.008920477092128416,0.0,0.0,0.01515151515151515,0.0
User Access Management,11,0.42305194778279237,0.24751605319097603,0.5204224221008673,0.45938026518203795,0.37878787878787884,0.5454545454545454
Solution design & Implementation,10,0.5479271600039641,0.4236320278339011,0.6319390459363957,0.9606970185334408,0.5166666666666667,0.4
Corp Compl General Secretary,10,0.5352710856993699,0.32621243692110785,0.29485424028268553,0.6677679290894439,0.36666666666666664,0.0
Corporate Compliance,10,0.4838972800175297,0.2907651287453758,0.2537720848056537,0.4366337630942788,0.36666666666666664,0.1
